2019-02-28 11:03:53.052065|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.4.0 (2018-09-10 07:29:44)
2019-02-28 11:03:53.092091|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (17134) x64 (AMD or Intel) Binary: 64bit
2019-02-28 11:03:53.093105|INFO    |ServerLibPriv |   |Using hardware aes
2019-02-28 11:03:53.184056|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2019-02-28 11:03:53.184056|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2019-02-28 11:03:53.204058|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2019-02-28 11:03:53.512035|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2019-02-28 11:03:53.567032|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-02-28 11:03:53.671024|INFO    |Accounting    |   |Licensing Information
2019-02-28 11:03:53.671024|INFO    |Accounting    |   |licensed to       : Anonymous
2019-02-28 11:03:53.671024|INFO    |Accounting    |   |type              : No License
2019-02-28 11:03:53.671024|INFO    |Accounting    |   |starting date     : Sun Jul  1 00:00:00 2018
2019-02-28 11:03:53.671024|INFO    |Accounting    |   |ending date       : Wed Jul 31 00:00:00 2019
2019-02-28 11:03:53.671024|INFO    |Accounting    |   |max virtualservers: 1
2019-02-28 11:03:53.671024|INFO    |Accounting    |   |max slots         : 32
2019-02-28 11:03:54.171991|ERROR   |Accounting    |   |local accounting reports an already running instance, instance will shutdown
2019-02-28 11:03:57.879753|INFO    |              |   |Puzzle precompute time: 3939
2019-02-28 11:03:57.882753|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2019-02-28 11:03:58.155733|ERROR   |VirtualSvrMgr |   |loading VirtualServer(1) failed to start, error: port already in use
2019-02-28 11:03:58.203737|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2019-02-28 11:03:58.204732|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
