2018-09-23 00:29:43.372020|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, [::]:9987
2018-09-23 00:30:18.699298|INFO    |VirtualServerBase|1  |client connected 'Radcrazykid2 | 1-L-40'(id:4) using a myTeamSpeak ID from 192.168.2.19:56365
2018-09-23 00:30:18.761313|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1483396842' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:30:18.761313|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1529263021' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:30:20.080607|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_2642770149' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:30:20.918819|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_3102975314' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:30:20.919819|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_3993483088' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:30:35.067574|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:2013348012) was added by 'Radcrazykid2 | 1-L-40'(id:4) to channel 'Community Director - FAXES'(id:99)
2018-09-23 00:30:35.069584|INFO    |VirtualServerBase|1  |channel 'Community Director - FAXES'(id:99) edited by 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:30:45.350110|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:-331665205) was added by 'Radcrazykid2 | 1-L-40'(id:4) to channel 'Assistant Director - DiamondBackEV'(id:21)
2018-09-23 00:30:45.351122|INFO    |VirtualServerBase|1  |channel 'Assistant Director - DiamondBackEV'(id:21) edited by 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:31:07.160563|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:144) with values (value:1913523921) was added by 'Radcrazykid2 | 1-L-40'(id:4) to channel 'Server Owner - Radcrazykid2'(id:20)
2018-09-23 00:31:07.162571|INFO    |VirtualServerBase|1  |channel 'Server Owner - Radcrazykid2'(id:20) edited by 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:31:15.553508|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_562027764' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:31:15.554508|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1805427825' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:31:15.554508|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_478832049' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:31:15.555510|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1241727404' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:31:15.555510|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_85368941' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:31:15.620523|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_2314398147' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:31:15.621523|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_3201618383' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:31:15.621523|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_3782301228' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:31:15.622523|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_2695360418' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:31:15.622523|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_475659083' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:31:15.722545|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_2295463579' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:31:15.723546|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1815735829' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:31:15.723546|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_2403989947' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:31:15.724546|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_3897558906' by client 'Radcrazykid2 | 1-L-40'(id:4)
2018-09-23 00:31:15.724546|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_278659660' by client 'Radcrazykid2 | 1-L-40'(id:4)
