2018-10-24 23:32:20.268971|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, [::]:9987
2018-10-24 23:32:24.567705|INFO    |VirtualServerBase|1  |client connected 'Radcrazykid2 | 1-L-40'(id:4) using a myTeamSpeak ID from 99.248.139.47:56339
2018-10-25 03:50:55.013009|INFO    |VirtualServerBase|1  |client disconnected 'Radcrazykid2 | 1-L-40'(id:4) reason 'reasonmsg=leaving'
2018-10-29 03:05:24.906531|INFO    |VirtualServerBase|1  |client connected 'Radcrazykid2 | 1-L-40'(id:4) using a myTeamSpeak ID from 99.248.139.47:52263
2018-10-29 06:28:29.585552|INFO    |VirtualServerBase|1  |client disconnected 'Radcrazykid2 | 1-L-40'(id:4) reason 'reasonmsg=leaving'
2018-10-30 17:54:12.559607|INFO    |VirtualServerBase|1  |client connected 'Radcrazykid2 | 1-L-40'(id:4) using a myTeamSpeak ID from 99.248.139.47:60377
2018-10-30 17:54:34.975236|INFO    |VirtualServerBase|1  |client connected 'D. Memphis'(id:18) using a myTeamSpeak ID from 81.186.253.61:50843
2018-10-30 18:16:45.746832|INFO    |VirtualServerBase|1  |client disconnected 'D. Memphis'(id:18) reason 'reasonmsg=F*** you all im going wanking'
2018-10-30 18:37:32.455572|INFO    |VirtualServerBase|1  |client disconnected 'Radcrazykid2 | 1-L-40'(id:4) reason 'reasonmsg=leaving'
2018-10-30 21:07:04.730739|INFO    |VirtualServerBase|1  |client connected 'K2K'(id:18) using a myTeamSpeak ID from 81.186.253.61:50843
2018-10-30 21:08:13.544529|INFO    |VirtualServerBase|1  |client disconnected 'K2K'(id:18) reason 'reasonmsg=F*** you all im going wanking'
2018-10-31 01:55:31.758392|INFO    |VirtualServerBase|1  |client connected 'Radcrazykid2 | 1-L-40'(id:4) using a myTeamSpeak ID from 99.248.139.47:58136
2018-10-31 05:13:57.545629|INFO    |VirtualServerBase|1  |client disconnected 'Radcrazykid2 | 1-L-40'(id:4) reason 'reasonmsg=leaving'
2018-10-31 22:29:46.397884|INFO    |VirtualServerBase|1  |client connected 'Antonio'(id:31) using a myTeamSpeak ID from 172.98.79.202:59667
